Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Moueffek Aïmen;MD;7;9;5.17;5.5;4.94;9;5;17;0.61;0.61;0.53;0;0;0;0.44;0.8;0.24;420;344;511;46.67;68.8;30.06;;;;1000;6;6;5.5;4.5;5.5;0;5;4.5;4.5;0;0;0;0;0;0;0;0;5;0;0;0;4.5;0;0;0;0;0;0;5;4.5;5;5;0;0;4.5;4.5;0;0;;;;;;;;;;;;;;;;4.5;Saint-Étienne;Sochaux;sam. 28/01 15:00;50;0.40334;0.44172;
Traoré Brahim;DC;7;8;5.17;0;4.71;3;0;12;0.76;0;0.72;0;0;0;0.67;0;0.67;187;0;776;62.33;0;64.67;;;;1000;0;0;5;0;0;0;0;0;0;4.5;0;0;0;6;0;0;0;0;0;4.5;0;4;0;5;0;0;5;0;0;5;4.5;0;0;5;0;5;0;3;;;;;;;;;;;;;;;;0;SM Caen;Laval;sam. 28/01 19:00;50;0.03701;0.15309;
Lefort Jordan;DL;11;14;5.15;5.15;5.15;13;13;13;0.97;0.97;0.97;0;0;0;0.92;0.92;0.92;1111;1111;1111;85.46;85.46;85.46;;;;1000;3.5;6;5.5;6;3.5;5.5;6;6;4;6;4.5;5.5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;Paris FC;Quevilly RM;sam. 28/01 19:00;50;0.52028;0.53199;
Mbemba Nolan;MD;11;11;5.14;5.25;4.91;14;4;22;0.41;0.29;0.63;0;0;0;0.36;0.25;0.41;537;161;847;38.36;40.25;38.5;;;;1000;5.5;5;5.5;5;0;5.5;5;5;4.5;4.5;5.5;5;6;5;0;0;0;0;5;4;0;0;0;0;0;0;5;0;4;5;5;5;3;0;5;0;0;0;;;;;;;;;;;;;;;;0;Havre AC;Amiens SC;sam. 28/01 19:00;50;0.57848;;
Casimir Josué;A;10;14;5.14;5;5.14;18;7;18;0.54;0.5;0.54;0;0;0;0.83;1;0.83;1283;576;1283;71.28;82.29;71.28;;;;1000;5;5;4.5;5;5;4.5;6;0;5;5;6;4.5;5.5;6;5;6;5;5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;5;Havre AC;Amiens SC;sam. 28/01 19:00;50;0.57848;;
Demoncy Yohan;MD;9;9;5.13;0;5.05;8;0;11;0.95;0;0.82;0;0;0;1;0;0.73;653;0;687;81.63;0;62.45;;;;1000;0;5;5;6;5;0;4.5;4.5;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;4.5;5;;;;;;;;;;;;;;;;4.5;FC Annecy;Pau FC;sam. 28/01 19:00;50;;;
Thuram-Ulien Yohann;G;7;8;5.13;0;5.3;4;0;5;1.11;0;1.04;0;0;0;0.75;0;0.6;333;0;378;83.25;0;75.6;;;;1000;0;0;0;0;0;0;0;0;0;0;3.5;5.5;5.5;0;0;0;0;6;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;6;Quevilly RM;Paris FC;sam. 28/01 19:00;50;;;
Diakité Check-Oumar;MD;7;7;5.13;4.75;5.17;8;2;9;0.35;0.35;0.35;0;0;1;0.25;0.5;0.33;252;62;317;31.5;31;35.22;;317;5.5;1000;4.5;5;0;0;5.5;5.5;5;5;5;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5;0;;;;;;;;;;;;;;;;0;Havre AC;Amiens SC;sam. 28/01 19:00;50;0.57848;;
Jonathan Buatu;DC;12;14;5.13;5.13;5.13;12;12;12;0.43;0.43;0.43;0;0;0;0.83;0.83;0.83;934;934;934;77.83;77.83;77.83;;;;1000;4.5;5;5;6;5;4.5;5;5;5;5.5;5.5;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;Valenciennes;FC Metz;sam. 28/01 19:00;50;0.04844;0.14911;
Michel Mathieu;G;14;19;5.11;5.11;5.22;19;19;30;0.88;0.88;0.89;0;0;0;1;1;1;1710;1710;2700;90;90;90;;;;1000;6;6;5;6;4;5;5.5;4;5.5;6;4;5;4;6;3.5;6;5;4.5;6;4.5;4;6;5.5;0;7;5.5;4.5;6.5;5;0;5;6;0;0;0;0;0;0;;;;;;;;;;;;;;;;4.75;Niort;Nimes O.;sam. 28/01 19:00;50;0.3736;0.36738;
Lecoeuche Quentin;DL;13;16;5.11;5.11;5.04;19;19;35;0.64;0.64;0.61;0;0;0;1;1;0.94;1619;1619;2901;85.21;85.21;82.89;;;;1000;4.5;5;4.5;5;4.5;5;5;6;6.5;5;5;4;6;6;5;5.5;4.5;5;5;6;6;5;0;4.5;5;4.5;0;5;5;4.5;5;5.5;5;3.5;5;5;5;0;;;;;;;;;;;;;;;;4.5;Valenciennes;FC Metz;sam. 28/01 19:00;50;0.04844;0.14911;
Martin Florian;MO;7;7;5.11;5;5.1;9;2;10;0.33;0;0.32;0;0;0;0.22;0;0.2;212;12;223;23.56;6;22.3;;;;1000;5;5;0;0;5.5;5;5;5.5;0;0;0;0;0;0;0;5;4.5;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;;;;;;;;;;;;;;;;4.5;Valenciennes;FC Metz;sam. 28/01 19:00;50;0.04844;0.14911;
Valério Antoine;MO;8;9;5.11;5.5;5;14;2;24;0.56;0.71;0.53;0;0;0;0.21;0;0.25;394;29;721;28.14;14.5;30.04;;;;1000;6;5;0;0;5;0;5;0;4.5;4.5;4.5;5;5;0;6;6;5.5;4.5;5;0;0;0;5;0;4;0;0;0;5.5;5;0;4.5;4.5;4.5;0;5.5;5;5;;;;;;;;;;;;;;;;5;Rodez AF;Guingamp;sam. 28/01 19:00;50;0.08429;0.06903;
Muyumba Tristan;MD;11;14;5.11;5.11;5.15;19;19;34;0.81;0.81;0.79;0;0;2;0.84;0.84;0.65;1417;1417;2052;74.58;74.58;60.35;;1026;6;1000;4.5;4;4.5;5;4.5;6;5.5;5;4;5.5;5.5;6;5;4.5;6;4;5.5;5;7;5;5;6;7;5;5;5;0;0;6;4.5;5;5;0;5;6;3.5;5;0;;;;;;;;;;;;;;;;5.5;Guingamp;Rodez AF;sam. 28/01 19:00;50;0.10784;0.20463;
Filipovic Ivan;G;10;13;5.11;0;5.2;14;0;15;1.15;0;1.16;0;0;0;1;0;1;1246;0;1336;89;0;89.07;;;;1000;0;0;0;0;6;6.5;0;4;4;6.5;4;6;4;4.5;5.5;3;6;6;5.5;6.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;6;Paris FC;Quevilly RM;sam. 28/01 19:00;50;0.52028;0.53199;
Marié Jordan;MD;10;12;5.1;0;5.05;15;0;20;0.57;0;0.54;0;0;0;0.73;0;0.6;772;0;928;51.47;0;46.4;;;;1000;0;4.5;4.5;0;0;5;0;5.5;4.5;5;5.5;4.5;4.5;5;6;6;5;5;6;0;0;4.5;0;0;4.5;0;0;5.5;5;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;5.5;Dijon FCO;Bordeaux;sam. 28/01 19:00;50;;0.02972;
Lachuer Mathis;MD;7;10;5.1;0;4.98;10;0;25;0.66;0;0.53;0;0;0;0.2;0;0.24;290;0;714;29;0;28.56;;;;1000;0;0;0;0;0;0;0;5.5;5;5;4.5;5.5;6.5;0;5;5;5;0;4;4.5;4.5;5;6;0;0;0;5;4.5;5;5;4;5;0;5;5;5;5;5;;;;;;;;;;;;;;;;5;Amiens SC;Havre AC;sam. 28/01 19:00;50;0.27957;0.3298;
Yohan Tavares;DC;12;12;5.1;6;5.1;15;1;15;0.81;0;0.81;0;0;0;0.87;1;0.87;1168;90;1168;77.87;90;77.87;;;;1000;6;0;0;0;4;6;5.5;6;5;5.5;0;5;3.5;4;5;5;5.5;4.5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;6;Laval;SM Caen;sam. 28/01 19:00;50;0.1915;0.23415;
Kouao Koffi;DL;10;13;5.1;5.1;5.1;15;15;15;1.02;1.02;1.02;0;0;0;0.8;0.8;0.8;1123;1123;1123;74.87;74.87;74.87;;;;1000;5.5;6.5;5.5;4.5;6;6;4;5;3.5;5.5;5;3;6.5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;FC Metz;Valenciennes;sam. 28/01 19:00;50;0.15089;0.2651;
Labonne Ronny;DL;11;13;5.09;0;5.09;17;0;17;0.71;0;0.71;0;0;0;0.82;0;0.82;1149;0;1149;67.59;0;67.59;;;;1000;0;5;5.5;5;5;6;5;7;3.5;5;0;5;4.5;5;5.5;5;5;5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;5;Nimes O.;Niort;sam. 28/01 19:00;50;0.06559;0.15602;
Eboa Eboa Félix;DC;3;9;5.08;0;5.08;6;0;6;1.32;0;1.32;0;0;0;0.83;0;0.83;405;0;405;67.5;0;67.5;;;;1000;0;0;0;0;0;0;0;0;0;5.5;6;0;0;0;0;2.5;5;5.5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;Guingamp;Rodez AF;sam. 28/01 19:00;50;0.10784;0.20463;
Basilio Enzo;G;16;18;5.08;5.08;5.23;19;19;33;1.19;1.19;1.1;0;0;0;1;1;1;1710;1710;2966;90;90;89.88;;;;1000;2.5;5.5;4;5.5;5;6;5.5;6;3.5;6;6;4;5.5;4;6.5;4;6;4;7;6;5.5;6;4;5.5;5.5;3.5;6;6;7;4.5;6;6;0;0;0;0;0;4.5;;;;;;;;;;;;;;;;6.25;Guingamp;Rodez AF;sam. 28/01 19:00;50;0.10784;0.20463;
Jean Gaby;DL;11;13;5.08;5.11;5.08;18;9;18;0.75;0.96;0.75;0;0;0;1;1;1;1575;765;1575;87.5;85;87.5;;;;1000;6.5;3.5;5.5;6;5.5;4.5;5;4;5.5;0;4.5;5.5;5;5.5;5;5.5;5.5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;4;FC Annecy;Pau FC;sam. 28/01 19:00;50;;;
Boissier Rémy;MD;15;17;5.07;0;5.13;15;0;31;0.62;0;0.77;0;0;1;0.87;0;0.9;1213;0;2503;80.87;0;80.74;;2503;6.5;1000;0;0;6;5;6;5.5;5;4.5;5;5;0;5;5;4;0;6;5;4;5;6.5;5.5;5;5.5;0;5;4;6.5;4.5;5;6;6.5;4.5;4;0;6;0;4.5;4;;;;;;;;;;;;;;;;5;Rodez AF;Guingamp;sam. 28/01 19:00;50;0.08429;0.06903;
Bonnet Alexandre;MO;12;12;5.07;4.88;5.03;15;4;32;0.84;0.25;0.86;0;0;0;0.6;0.25;0.63;707;90;1794;47.13;22.5;56.06;;;;1000;4.5;5;5;5;0;0;0;0;5;5;4.5;5;7;5;6;5;5.5;3;5.5;5;6;4.5;5.5;6;5.5;7;5;4.5;5;5;0;0;3;5;5;4;5;4;;;;;;;;;;;;;;;;3;Quevilly RM;Paris FC;sam. 28/01 19:00;50;;;
Touray Saikou;MD;8;10;5.07;5.5;5.07;14;1;14;0.94;0;0.94;0;0;0;0.57;1;0.57;779;90;779;55.64;90;55.64;;;;1000;5.5;0;4;4;4.5;7;5;0;5;5.5;7;0;4.5;0;4.5;5;4.5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;4.5;Grenoble;SC Bastia;sam. 28/01 19:00;50;0.16931;0.24407;
Deaux Lucas;MD;8;10;5.06;0;5.17;9;0;18;0.3;0;0.59;0;0;0;0.22;0;0.56;274;0;973;30.44;0;54.06;;;;1000;0;0;0;5;0;4.5;5;5;5;5.5;5.5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5;5;5.5;5;6;5;0;0;3.5;6;6;0;;;;;;;;;;;;;;;;5.5;Dijon FCO;Bordeaux;sam. 28/01 19:00;50;;0.02972;
Dreyer Matthieu;G;8;23;5.06;0;5.02;9;0;24;1.1;0;1.38;0;0;0;0.89;0;0.96;745;0;2095;82.78;0;87.29;;;;1000;0;0;0;4.5;4;4;6;0;0;0;5.5;7;4;6;4.5;0;0;0;0;5;6;4;4;2.5;7;4.5;5;2.5;7;6;3;6;5.5;7;0;0;0;0;;;;;;;;;;;;;;;;0;Saint-Étienne;Sochaux;sam. 28/01 15:00;50;0.40334;0.44172;
Ayité Floyd;A;8;9;5.06;0;4.95;8;0;20;0.32;0;0.78;0;0;1;0.5;0;0.6;292;0;975;36.5;0;48.75;;975;7;1000;0;0;0;0;4.5;0;5;5.5;5;5;5;0;0;0;0;0;0;5;5.5;0;0;0;0;3;4;5;5;4;0;5;5;7;5.5;5;4.5;5.5;0;0;;;;;;;;;;;;;;;;0;Valenciennes;FC Metz;sam. 28/01 19:00;50;0.04844;0.14911;
Phliponeau Alexandre;MD;1;3;5.06;0;5.06;8;0;8;0.56;0;0.56;0;0;0;1;0;1;585;0;585;73.13;0;73.13;;;;1000;0;0;0;0;0;0;0;0;0;0;0;5.5;5;5.5;5.5;5;4.5;5.5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;FC Annecy;Pau FC;sam. 28/01 19:00;50;;;
Traoré Ismaël;DC;12;12;5.05;0;5.07;11;0;29;0.99;0;0.97;0;0;1;0.82;0;0.9;850;0;2355;77.27;0;81.21;;2355;6;1000;0;0;6;6;0;0;0;0;4;6;5;3;5.5;0;4.5;4.5;6;5;0;5;4.5;7;4.5;6;3.5;5;5.5;4.5;6.5;6;5;5;5;4.5;5;0;6;0;;;;;;;;;;;;;;;;6;FC Metz;Valenciennes;sam. 28/01 19:00;50;0.15089;0.2651;
Teikeu Adolphe;DC;7;8;5.05;0;5.08;11;0;19;0.76;0;0.67;0;0;0;0.82;0;0.89;872;0;1437;79.27;0;75.63;;;;1000;0;0;0;0;0;0;0;4;5.5;3.5;5;6;5;0;5;5;5;5.5;6;5;5.5;4;5.5;0;5;0;0;0;0;0;5;6;0;0;0;0;5;0;;;;;;;;;;;;;;;;4;SM Caen;Laval;sam. 28/01 19:00;50;0.03701;0.15309;
Roncaglia Anthony;MD;9;;5.05;5;5.11;11;1;23;0.42;0;0.48;0;0;1;0.36;0;0.48;362;5;990;32.91;5;43.04;;990;6;1000;5;0;5;0;0;0;5.5;0;4.5;0;5;5;6;5;0;4.5;5;5;0;0;5;0;5;0;5;5;5.5;5;5.5;6;0;0;5;5;0;0;4;6;;;;;;;;;;;;;;;;5;SC Bastia;Grenoble;sam. 28/01 19:00;50;;0.14062;
Coulibaly Senou;DC;12;12;5.04;5;4.93;14;2;28;0.69;0.71;0.75;0;0;1;0.86;1;0.93;1129;180;2360;80.64;90;84.29;;2360;5.5;1000;5.5;4.5;0;6;6;0;0;6;4;5;4.5;4;4.5;5;5;5.5;5;0;0;4.5;5.5;5;5;0;3.5;5;5;5;0;4.5;6;4.5;6;5;3;0;0;0;;;;;;;;;;;;;;;;4.5;Dijon FCO;Bordeaux;sam. 28/01 19:00;50;;0.02972;
Sow Noé;MD;9;11;5.04;4.75;5.04;14;2;14;0.72;0.35;0.72;0;0;0;0.86;1;0.86;1032;177;1032;73.71;88.5;73.71;;;;1000;4.5;5;0;4.5;5;0;5.5;6;3.5;6;5.5;6;5;4.5;4.5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;6;Pau FC;FC Annecy;sam. 28/01 19:00;50;0.41672;0.03269;
Sissoko Alpha;DL;13;17;5.03;5.23;5.1;17;11;26;0.57;0.34;0.71;0;0;0;1;1;0.85;1409;945;1797;82.88;85.91;69.12;;;;1000;5;5;5.5;5.5;5.5;5;5.5;5;5.5;5.5;4.5;0;0;3.5;5;5;5;4;5.5;6.5;4;5;7;5;0;5;0;0;5;0;0;5;4.5;0;0;0;0;0;;;;;;;;;;;;;;;;4;Quevilly RM;Paris FC;sam. 28/01 19:00;50;;;
Chergui Samir;MO;9;13;5.03;4.75;5.09;15;2;29;1.03;1.06;0.97;0;0;1;0.93;1;0.97;1208;180;2404;80.53;90;82.9;;2404;7;1000;4;5.5;0;0;3;6.5;5;6;5.5;0;0;6;3.5;5;4.5;4;5.5;5.5;6;5.5;7;4;3.5;6;5;0;4;6;0;0;5.5;5;0;0;5;5;4.5;6;;;;;;;;;;;;;;;;5.5;Paris FC;Quevilly RM;sam. 28/01 19:00;50;0.52028;0.53199;
Xantippe Matthéo;DL;9;10;5.03;5.03;5.05;19;19;30;0.72;0.72;0.74;0;0;0;0.68;0.68;0.77;1124;1124;2004;59.16;59.16;66.8;;;;1000;5.5;5;5;5;4.5;4;5;3.5;5.5;5;7;5;5;5;4.5;6;5;5;5;0;4.5;0;0;4.5;5;4.5;5;0;0;6;4;5.5;0;6;0;6.5;4.5;0;;;;;;;;;;;;;;;;4.5;Amiens SC;Havre AC;sam. 28/01 19:00;50;0.27957;0.3298;
Vincent Christophe;MD;11;14;5.03;4.63;5.12;16;4;34;1.23;0.48;1.11;0;0;1;0.81;0.25;0.88;1164;137;2708;72.75;34.25;79.65;;2708;8;1000;5;4.5;5;4;0;4.5;5.5;5;4;6.5;0;4.5;6;2.5;4.5;0;6;8;5;5;4.5;4.5;5.5;5;5.5;5.5;5;5.5;4.5;0;3.5;4.5;4.5;8;5.5;5.5;4.5;7;;;;;;;;;;;;;;;;5.75;SC Bastia;Grenoble;sam. 28/01 19:00;50;;0.14062;
Ruiz Jean;MD;11;13;5.03;5.06;5.03;17;16;17;0.76;0.77;0.76;0;0;0;0.88;0.94;0.88;1356;1311;1356;79.76;81.94;79.76;;;;1000;4;6;4;5;5.5;5;6;6;4;5;6;5.5;4.5;5.5;4;5;0;0;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;6;Pau FC;FC Annecy;sam. 28/01 19:00;50;0.41672;0.03269;
Kongolo Terence;DC;8;9;5;0;5;4;0;4;0;0;0;0;0;0;0;0;0;12;0;12;3;0;3;;;;1000;0;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;Havre AC;Amiens SC;sam. 28/01 19:00;50;0.57848;;
Dabila Kouadio-Yves;DC;7;10;5;0;5;7;0;7;1.15;0;1.15;0;0;0;1;0;1;596;0;596;85.14;0;85.14;;;;1000;0;0;0;0;0;0;0;0;4;7;3.5;5;4.5;5.5;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;Paris FC;Quevilly RM;sam. 28/01 19:00;50;0.52028;0.53199;
Sadzoute Scotty;DL;8;9;5;5;5;14;2;26;0.83;0;0.71;0;0;0;0.43;0;0.5;738;29;1417;52.71;14.5;54.5;;;;1000;5;5;0;0;5.5;5;5;0;5;0;3.5;5.5;4;3.5;6;5;6;0;6;4.5;5;5.5;6.5;4.5;5;5;5;5;4.5;0;4.5;0;0;5;0;0;0;0;;;;;;;;;;;;;;;;5.25;Nimes O.;Niort;sam. 28/01 19:00;50;0.06559;0.15602;
Abdennour Aymen;DC;8;8;5;4.5;5;4;1;4;0.41;0;0.41;0;0;0;0.75;1;0.75;164;54;164;41;54;41;;;;1000;4.5;0;5;0;0;0;0;0;5.5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;Rodez AF;Guingamp;sam. 28/01 19:00;50;0.08429;0.06903;
Alakouch Sofiane;DL;5;5;5;0;5;4;0;4;0;0;0;0;0;0;0;0;0;13;0;13;3.25;0;3.25;;;;1000;0;0;0;0;5;0;0;0;0;5;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;5;FC Metz;Valenciennes;sam. 28/01 19:00;50;0.15089;0.2651;
Court Yoann;MO;5;5;5;0;5.24;6;0;21;0.55;0;1.15;0;0;2;0.17;0;0.57;185;0;1123;30.83;0;53.48;;562;7;1000;0;5;0;4.5;4.5;0;0;0;0;0;0;0;0;0;0;0;5;5;6;0;4.5;6.5;5.5;5;4.5;6.5;7;5.5;4;8;5;5.5;5;0;0;5;0;2.5;;;;;;;;;;;;;;;;0;SM Caen;Laval;sam. 28/01 19:00;50;0.03701;0.15309;
Kilama Guy-Marcelin;DC;12;17;5;5.42;4.94;18;6;26;0.89;0.38;0.89;0;0;0;0.94;0.83;0.92;1498;499;2137;83.22;83.17;82.19;;;;1000;5.5;5;5.5;6;5.5;5;0;4;4.5;6;4.5;5.5;4.5;6;3.5;6;4.5;3;5.5;4;5;3.5;4;0;6;5;5;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;5.25;Niort;Nimes O.;sam. 28/01 19:00;50;0.3736;0.36738;
Chougrani Joris;DC;9;9;5;0;4.95;14;0;22;0.81;0;1.07;0;0;1;0.93;0;0.91;1071;0;1743;76.5;0;79.23;;1743;6.5;1000;0;5;5;4;5.5;5;4.5;0;0;4.5;6;5.5;5.5;0;5.5;5;0;3;6;6.5;5.5;5.5;3.5;0;0;0;6.5;3;5.5;0;0;0;0;0;0;0;0;3;;;;;;;;;;;;;;;;5.5;Rodez AF;Guingamp;sam. 28/01 19:00;50;0.08429;0.06903;
Pereira De Sa Roli;MO;7;9;5;0;5;11;0;21;0.22;0;0.39;0;0;0;0.09;0;0.14;188;0;477;17.09;0;22.71;;;;1000;0;0;0;0;5;0;0;5;5;4.5;5;5;5;5;5;5.5;5;0;0;0;0;0;4.5;0;0;0;0;5;0;0;5.5;4.5;5;0;4.5;5;5.5;6;;;;;;;;;;;;;;;;5;Sochaux;Saint-Étienne;sam. 28/01 15:00;50;0.30204;0.38763;
Ngouyamsa Ahmad;DL;7;7;5;5.13;5.04;11;4;28;0.39;0.25;0.71;0;0;0;0.27;0.25;0.57;284;55;1482;25.82;13.75;52.93;;;;1000;5;5;5;5.5;0;5.5;0;0;0;0;0;0;4.5;5;4.5;4.5;0;5;5.5;4.5;4;7;5;4;3.5;5;5.5;0;5;5.5;5.5;4.5;6;5;0;6;5.5;4.5;;;;;;;;;;;;;;;;0;Dijon FCO;Bordeaux;sam. 28/01 19:00;50;;0.02972;
Monzango Nathan;DC;1;1;5;0;5;1;0;1;0;0;0;0;0;0;0;0;0;64;0;64;64;0;64;;;;1000;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;Pau FC;FC Annecy;sam. 28/01 19:00;50;0.41672;0.03269;
Innocenti Nassim;DL;5;5;5;0;5;5;0;5;0;0;0;0;0;0;0;0;0;92;0;92;18.4;0;18.4;;;;1000;0;0;0;5;0;0;0;0;0;5;0;0;5;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;5;Valenciennes;FC Metz;sam. 28/01 19:00;50;0.04844;0.14911;
Kouassi Xavier;MD;15;19;5;5.5;5.04;18;10;34;1.22;0.97;1.05;0;0;0;1;1;1;1615;895;3020;89.72;89.5;88.82;;;;1000;5.5;6;3.5;6;5.5;6;6;6.5;6;4;0;6;4;5.5;3;3;5;5.5;3;4.5;4.5;5;5;0;3;4;5.5;6;0;5.5;5.5;4.5;6;6;5;0;5.5;6;;;;;;;;;;;;;;;;6.5;Pau FC;FC Annecy;sam. 28/01 19:00;50;0.41672;0.03269;
Fall Boubacar;G;10;10;5;0;5;1;0;1;0;0;0;0;0;0;1;0;1;90;0;90;90;0;90;;;;1000;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;Saint-Étienne;Sochaux;sam. 28/01 15:00;50;0.40334;0.44172;
Ba Ousmane;G;7;7;5;0;5;4;0;4;0.82;0;0.82;0;0;0;0.75;0;0.75;315;0;315;78.75;0;78.75;;;;1000;0;0;0;0;0;0;0;0;0;0;6;4;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;FC Metz;Valenciennes;sam. 28/01 19:00;50;0.15089;0.2651;
Cassubie Yohan;MD;1;3;5;0;5.19;1;0;13;0;0;1.16;0;0;0;0;0;0.77;16;0;884;16;0;68;;;;1000;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;4.5;4;4.5;5;7;5.5;4.5;6.5;5.5;0;0;0;0;3;5.5;0;0;7;;;;;;;;;;;;;;;;5.5;Niort;Nimes O.;sam. 28/01 19:00;50;0.3736;0.36738;
Koré Yoan;DL;5;5;5;0;4.75;2;0;8;0.71;0;0.46;0;0;0;1;0;0.75;162;0;426;81;0;53.25;;;;1000;0;0;4.5;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4.5;4.5;0;0;5;0;0;5;0;0;5;0;;;;;;;;;;;;;;;;5;Paris FC;Quevilly RM;sam. 28/01 19:00;50;0.52028;0.53199;
Sy Lamine;DL;3;6;5;0;4.13;2;0;8;0;0;1.69;0;0;0;0.5;0;0.88;108;0;525;54;0;65.63;;;;1000;0;0;0;0;0;0;0;0;0;5;0;0;0;0;5;0;0;0;0;4.5;0;0;0;4.5;4.5;5;4.5;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;SM Caen;Laval;sam. 28/01 19:00;50;0.03701;0.15309;
Lebreton Noé;DC;1;1;5;0;4.83;2;0;3;0;0;0.29;0;0;0;0;0;0;31;0;47;15.5;0;15.67;;;;1000;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0;0;0;0;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;SM Caen;Laval;sam. 28/01 19:00;50;0.03701;0.15309;
Kaboré Charles;MD;12;26;5;0;5;14;0;14;0.73;0;0.73;0;0;0;1;0;1;1065;0;1065;76.07;0;76.07;;;;1000;0;0;5.5;5;5.5;6;5;4;5.5;5.5;5.5;0;4;4.5;3.5;5;0;0;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;5.5;Niort;Nimes O.;sam. 28/01 19:00;50;0.3736;0.36738;
