Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Sissokho Issouf;MO;8;12;5.33;0;5.25;12;0;14;0.72;0;0.85;0;0;0;0.33;0;0.43;435;0;560;36.25;0;40;;;;1000;0;0;0;0;0;5.5;5;4.5;6;6;5;0;0;7;5.5;5;5;4.5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5;6;;;;;;;;;;;;;;;;5;Bordeaux;Dijon FCO;sam. 28/01 19:00;50;0.61976;;
Buni Jorge Plamedi;MO;1;1;5.33;0;5;3;0;4;1.53;0;1.41;0;0;0;0.67;0;0.75;121;0;185;40.33;0;46.25;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;0;5;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;Rodez AF;Guingamp;sam. 28/01 19:00;50;0.08429;0.06903;
Faussurier Julien;DL;12;16;5.32;0;5.44;17;0;25;0.75;0;0.68;0;0;0;0.94;0;0.76;1418;0;1702;83.41;0;68.08;;;;1000;0;5;4;6.5;6;5.5;4.5;5.5;5;5;5;6.5;6;4.5;5;6.5;5;5;0;0;0;0;0;6;6.5;5.5;5.5;6;5.5;0;5;0;0;0;0;0;0;5.5;;;;;;;;;;;;;;;;5;Sochaux;Saint-Étienne;sam. 28/01 15:00;50;0.30204;0.38763;
Debuchy Mathieu;DL;12;14;5.31;5.17;4.98;13;6;27;0.9;0.61;1;0;0;0;0.92;1;0.93;1088;540;2231;83.69;90;82.63;;;;1000;4.5;5;5.5;5.5;6;4.5;0;6.5;6.5;0;3.5;4.5;6;5;0;0;0;0;6;0;5.5;5.5;4.5;2.5;5.5;4;4;5.5;4.5;6;0;5.5;4.5;5;0;0;0;3;;;;;;;;;;;;;;;;0;Valenciennes;FC Metz;sam. 28/01 19:00;50;0.04844;0.14911;
Mamadou Fofana I Mamadou;DC;13;16;5.31;5.19;5.07;18;13;34;0.97;1.01;1.03;0;0;0;1;1;0.97;1620;1170;2959;90;90;87.03;;;;1000;5.5;5;6.5;5.5;4;3.5;5;5;5.5;6;6;3.5;6.5;0;6;6;6;6;4;3.5;5;4.5;5.5;4;5;5.5;5.5;5;2;6;4;6;4.5;6;5;0;0;0;;;;;;;;;;;;;;;;5;Amiens SC;Havre AC;sam. 28/01 19:00;50;0.27957;0.3298;
M'Pasi Lionel;G;15;15;5.31;5.31;5.27;13;13;30;1.07;1.07;1.12;0;0;0;1;1;1;1170;1170;2700;90;90;90;;;;1000;3.5;5;6;6;6.5;5;5.5;6;4.5;4;4;6;7;0;0;0;0;0;0;7;7;7;3;6;4.5;4;5;5;4.5;5;4;5;6;0;6;6;4;0;;;;;;;;;;;;;;;;5.75;Rodez AF;Guingamp;sam. 28/01 19:00;50;0.08429;0.06903;
Bambock Franck-Yves;MD;14;16;5.31;5.29;5.36;18;12;35;0.69;0.81;0.69;0;0;0;0.94;1;0.89;1470;1028;2843;81.67;85.67;81.23;;;;1000;6.5;5.5;5.5;4;5;6.5;6;4.5;5.5;4.5;5.5;4.5;0;6;5.5;5.5;5;5;5;5.5;6;4.5;6;6;7;4.5;5;5.5;0;5;6;0;4.5;4.5;6;5.5;5.5;5;;;;;;;;;;;;;;;;5.25;Grenoble;SC Bastia;sam. 28/01 19:00;50;0.16931;0.24407;
Passi Bryan;DC;11;14;5.3;5.7;5.25;10;5;24;0.86;0.27;0.81;0;0;0;1;1;1;855;450;2115;85.5;90;88.13;;;;1000;5.5;6;5.5;6;5.5;0;0;5.5;5.5;6;3.5;4;0;0;0;0;0;0;0;4;5;0;4.5;5.5;6;0;5;6;5;0;0;4.5;5;4.5;6;5;0;7;;;;;;;;;;;;;;;;5.5;Niort;Nimes O.;sam. 28/01 19:00;50;0.3736;0.36738;
Michelin Clement;DL;11;13;5.3;0;5.3;10;0;10;0.71;0;0.71;0;0;0;0.6;0;0.6;659;0;659;65.9;0;65.9;;;;1000;0;4.5;0;5;6.5;4.5;5.5;6;6;5;5.5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;5.5;Bordeaux;Dijon FCO;sam. 28/01 19:00;50;0.61976;;
Gomis Iron;MD;12;14;5.29;5;5.31;17;8;27;0.81;0.53;0.92;0;0;1;0.82;0.75;0.74;1135;471;1672;66.76;58.88;61.93;;1672;7;1000;4.5;5;5.5;4.5;5;6;4.5;5;0;6;6;4.5;5;6.5;4.5;0;6;7;4.5;0;0;0;0;0;3.5;5;6;0;5;7;6;7;0;0;0;5;4.5;4.5;;;;;;;;;;;;;;;;4.5;Amiens SC;Havre AC;sam. 28/01 19:00;50;0.27957;0.3298;
Kebbal Ilan;MO;11;15;5.28;5;5.04;9;2;23;0.87;0;0.71;0;0;0;0.44;0;0.61;344;22;1018;38.22;11;44.26;;;;1000;5;5;0;0;5;0;5;0;4.5;6.5;4.5;7;5;0;0;0;0;0;0;0;5;5.5;5;5;5;5;5;0;4.5;5.5;5;5.5;4;0;0;0;5;0;;;;;;;;;;;;;;;;0;Paris FC;Quevilly RM;sam. 28/01 19:00;50;0.52028;0.53199;
