Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Pickel Charles;MD;11;12;5.03;0;5.03;17;0;17;0.78;0;0.78;1;0;1;0.88;0;0.88;1265;0;1265;74.41;0;74.41;1265;1265;6.5;11;0;4.5;3.5;5.5;4.5;5;6;6;4;6.5;0;5.5;5;5;5.5;4.5;4.5;5.5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;;;;;2;2;0.7739;701;11;12;47.59;15;;;0;Cremonese;Bologna;lun. 23/01 18:30;23.92344498;0.25753;0.26186;0.26146
Cambiaghi Nicolò;MO;10;10;5;0;5;12;0;12;0.93;0;0.93;1;0;1;0.08;0;0.08;299;0;299;24.92;0;24.92;299;299;7.5;10;0;4.5;6;4.5;7.5;0;5;5;0;0;4.5;4.5;5;4;0;0;0;4.5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;5;0.8215;186;2;8;65.96;4;;;0;Empoli;Inter;lun. 23/01 20:45;10.1010101;0.37585;0.38653;0.39227
Arslan Tolgay;MD;9;;5;5;5.11;18;18;31;0.45;0.45;0.56;1;1;1;0.44;0.44;0.61;688;688;1497;38.22;38.22;48.29;688;1497;6;9;5.5;5;5;5;4.5;4.5;5;5;4.5;5;4;5.5;6;5.5;5;5;5;5;0;0;5;0;4;5.5;0;5.5;5;0;0;5;6;4.5;0;6;6;5.5;0;6;2.5;;;;;1;5;0.8106;454;7;7;55.84;9;;;5.5;Udinese;Verona;lun. 30/01 20:45;50;0.51545;0.51209;
Bajrami Nedim;MO;13;14;5;0;5.09;17;0;35;0.75;0;0.78;1;0;3;0.41;0;0.6;839;0;1973;49.35;0;56.37;839;658;6;13;0;0;5;5;7;5;5;3.5;4.5;4.5;5.5;6;5;5;4.5;5;4.5;4.5;5.5;5.5;5;4;0;6;3.5;5.5;5;4.5;5;5.5;5;4.5;6;4.5;7;5.5;5;6;4.5;;1;1;;1;3;0.771;428;7;3;32.84;5;;;4;Empoli;Inter;lun. 23/01 20:45;10.1010101;0.37585;0.38653;0.39227
Ehizibue Kingsley;DL;9;;5;6.5;5;14;1;14;0.59;0;0.59;1;1;1;0.21;1;0.21;457;90;457;32.64;90;32.64;457;457;6.5;9;6.5;0;4.5;5;4;4.5;5;5;5.5;4.5;5;0;5.5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;1;1;0.6465;305;2;10;48.44;15;;;0;Udinese;Verona;lun. 30/01 20:45;50;0.51545;0.51209;
Barak Antonín;MO;18;19;4.97;5;5.16;16;2;28;0.43;0;1.1;1;0;6;0.56;0;0.68;874;66;1751;54.63;33;62.54;874;292;6;18;5;5;0;4.5;6;5;5;0;5;4.5;4.5;5;5.5;5;5.5;4.5;5;0;4.5;0;0;4;6.5;4.5;5;0;0;5;3.5;0;0;0;7;4.5;7;9;4.5;4.5;1.5;;;;;;7;0.7912;469;2;6;42.5;5;;;4.5;Fiorentina;Lazio;dim. 29/01 18:00;50;0.49809;0.50087;
Fazio Federico;DC;11;13;4.96;0;5.07;12;0;27;1.53;0;1.36;1;0;2;1;0;1;1061;0;2406;88.42;0;89.11;1061;1203;7;11;0;1;5;4.5;0;0;4;7;6;0;0;0;0;5;4.5;5;6.5;6;5;3.5;5.5;5;5.5;6;7.5;0;3;4.5;5.5;3;5.5;5;5.5;0;0;0;0;6.5;3.5;;;;;;4;0.7808;696;29;12;61.62;11;;;0;Salernitana;Lecce;ven. 27/01 20:45;50;0.33618;0.31687;
Marí Pablo;DC;10;12;4.96;4.63;5;12;4;27;1.36;1.11;1.28;1;0;3;0.83;0.5;0.93;958;248;2300;79.83;62;85.19;958;767;5;10;5;5;3;5.5;0;0;0;0;3;4.5;7.5;6.5;6;5.5;4;0;0;0;4;0;5;5.5;3;5;6;5.5;0;4.5;5.5;5;5.5;4.5;2.5;5.5;0;0;0;8;3;;;;;;;0.8676;599;11;6;66.67;9;;;6;Monza;Juventus;dim. 29/01 15:00;50;0.40131;0.3839;
Pobega Tommaso;MD;10;12;4.95;0;4.98;11;0;28;0.72;0;0.63;1;0;1;0.55;0;0.57;550;0;1601;50;0;57.18;550;1601;6;10;0;4.5;6;0;0;0;0;3.5;5.5;5;4;0;0;5.5;5;5.5;5;0;5;4.5;5.5;5;6;0;5.5;5.5;0;4.5;5.5;5;3.5;5;5;4.5;4.5;5;5;5.5;;;;;;;;0.7365;280;7;7;41.43;23;;;0;Milan;Lazio;mar. 24/01 20:45;42.55319149;0.70833;0.71846;0.73119
Lykogiannis Charalampos;DL;11;12;4.93;0;4.81;15;0;24;0.5;0;0.6;1;0;2;0.6;0;0.67;816;0;1337;54.4;0;55.71;816;669;4.5;11;0;5.5;5;5;6;4.5;5;5;0;5;5;4;0;4.5;4.5;5;0;5.5;4.5;5;5.5;5;0;0;0;3;0;4;0;0;0;5;4.5;0;0;5;0;4.5;3;;;;;1;10;0.6907;588;14;5;49.3;11;;;0;Bologna;Cremonese;lun. 23/01 18:30;52.08333333;0.46819;0.47112;0.46348
