Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j21;j20;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Gray Demarai;MO;13;16;5.1;5.1;5.13;20;20;38;0.88;0.88;0.84;3;3;3;0.95;0.95;0.84;1682;1682;2786;84.1;84.1;73.32;561;929;5;4.33;4;5.5;5;6.5;5;4.5;5;7;5.5;4;5;5;5;5;0;5;4;5;7;4;5;4;4.5;6;7;4;6;4.5;5;5;5;0;4.5;0;0;5.5;5.5;6;4;1;;1;1;3;27;0.8058;923;10;13;39.63;10;;;2;Everton;Arsenal;sam. 04/02 13:30;50;0.18413;0.21844;
Gordon Anthony;MO;14;18;5.06;0;5.23;16;0;37;1.11;0;1.09;3;0;7;0.75;0;0.81;1097;0;2684;68.56;0;72.54;366;383;6.5;4.67;0;4.5;0;0;4;5;4.5;5.5;7.5;4.5;0;4;5;4.5;0;5;7;6.5;5.5;4.5;3.5;4.5;5.5;5.5;5.5;4;4.5;7;4.5;5.5;5;4.5;4.5;4;8;4.5;5.5;5;4;;;;;1;12;0.7445;513;4;22;37.16;20;;;2.25;Everton;Arsenal;sam. 04/02 13:30;50;0.18413;0.21844;
Daka Patson;A;13;18;5;4.5;4.76;17;1;33;0.94;0;0.86;3;0;6;0.53;0;0.61;704;4;1578;41.41;4;47.82;235;263;5;4.33;4.5;0;0;6;4;6;5.5;4;4.5;4.5;5.5;6;6;4;0;7;4.5;0;4;4.5;4.5;0;4.5;6;4.5;4.5;3.5;4.5;4.5;4;4;0;0;4;4.5;3.5;6;4.5;4.5;;;1;3;4;3;0.689;258;3;5;41.43;11;;;2.25;Leicester;Aston Villa;sam. 04/02 16:00;50;0.43748;0.43402;
Anthony Jaidon;MO;12;12;4.93;5.5;4.93;15;6;15;1.12;1.22;1.12;3;2;3;0.33;0.67;0.33;636;394;636;42.4;65.67;42.4;212;212;6.5;4;7;5;5.5;3.5;5.5;6.5;0;4.5;5;0;4.5;4.5;0;4.5;0;6.5;4.5;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;6;0.734;407;3;10;43.9;5;;;0;Bournemouth;Brighton;sam. 04/02 16:00;50;0.28003;0.28299;
Édouard Odsonne;A;15;21;4.83;4.25;4.82;18;4;31;0.99;0.29;0.94;3;0;6;0.61;0.25;0.65;985;143;1752;54.72;35.75;56.52;328;292;5;5;4;4;4.5;4.5;0;4.5;0;7;3;6;4.5;6;6;0;4.5;5;4.5;4.5;6;4.5;4;4;4;5;0;0;0;0;4.5;5;5;0;0;0;4.5;0;6;3.5;2;;;;2;1;9;0.7416;450;3;8;38.89;14;;;3.5;Crystal Palace;Brighton;mer. 25/01 21:30;50;0.40524;0.43195;
Scamacca Gianluca;A;10;16;4.81;0;5.05;16;0;32;0.95;0;1.41;3;0;12;0.69;0;0.78;928;0;2095;58;0;65.47;309;175;6;3.33;0;4.5;6.5;4.5;0;4.5;4;4;5;3.5;5;6;7;4;0;0;0;5;4.5;4.5;4.5;3;8;6.5;3.5;5;3.5;4.5;4;7;7;0;4.5;7;0;3.5;3.5;6;3;;;2;;1;6;0.6374;306;4;4;40.2;16;;;0;West Ham;Newcastle;sam. 04/02 18:30;50;0.27144;0.31663;
Nelson Reiss;A;9;9;6.25;0;6.25;2;0;2;2.47;0;2.47;2;0;2;0;0;0;64;0;64;32;0;32;32;32;8;4.5;0;0;0;0;0;4.5;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;1;;;0.4474;53;;;36.36;2;;;0;Arsenal;Man. City;mer. 15/02 20:30;50;0.72194;0.6834;
Partey Thomas;MD;19;26;6;6.08;5.87;16;13;26;0.95;1.02;1.05;2;2;3;1;1;1;1394;1124;2263;87.13;86.46;87.04;697;754;7.5;9.5;5.5;7;5.5;5.5;5.5;5;6.5;8;5;0;6;6;8;5.5;0;0;0;0;6;5;6;0;0;0;0;0;0;0;3;6;7.5;5;5;6;0;5.5;0;0;10.5;;;2;;;6;0.8559;1263;19;22;58.02;17;;;5.5;Arsenal;Man. City;mer. 15/02 20:30;50;0.72194;0.6834;
Gündogan Ilkay;MD;23;31;5.97;7;6.06;17;1;32;1.02;0;0.92;2;0;7;0.82;1;0.72;1247;90;2161;73.35;90;67.53;624;309;6;11.5;7;0;6;5;5;4.5;7;5.5;0;0;6;0;5.5;5;5;5.5;8;6.5;7;7.5;5.5;7;0;6;7;5.5;6.5;0;7;6;0;7;5.5;6;7;5;0;5;7;;;;2;5;8;0.8776;964;14;12;48.57;14;;;5;Man. City;Arsenal;mer. 15/02 20:30;50;0.52998;0.59794;
Willian;A;12;19;5.96;0;5.96;13;0;13;1.14;0;1.14;2;0;2;0.85;0;0.85;982;0;982;75.54;0;75.54;491;491;7;6;0;5;7;5.5;6.5;5;5;6.5;8;7;5;0;0;6;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;;;;2;2;8;0.8205;537;6;4;53.85;4;;;4;Fulham;Tottenham;lun. 23/01 21:00;30.76923077;0.32597;0.34784;
