Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J;Dispo@MPGLaurent?
Dupé Maxime;G;17;19;5.58;5.58;5.54;19;19;37;1.15;1.15;0.96;0;0;0;1;1;1;1710;1710;3330;90;90;90;;;;1000;5;7;5.5;2.5;6;6;6;6.5;5;7;6;4.5;5.5;4;7;4.5;6.5;6;5.5;7;5.5;5;6;5;6;6;5;6;5.5;3.5;6;0;5.5;5;5;6;5;6;4;;;;;;;;;;;;;46;23;6.5;Toulouse FC;Strasbourg;dim. 29/01 15:00;50;0.40019;0.41164;;
Diaw Mory;G;16;18;5.58;5.58;5.58;19;19;19;1.2;1.2;1.2;0;0;0;1;1;1;1710;1710;1710;90;90;90;;;;1000;5;5;6;4;4.5;5;5.5;6;7;5;5;3.5;6.5;7;8;6.5;7;5.5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;;;;;;;;;;;;;41;19;5.5;Clermont;FC Nantes;dim. 29/01 15:00;50;0.42058;0.41947;;
Lafont Alban;G;19;21;5.56;6.67;5.62;18;6;38;1.47;1.25;1.32;0;0;0;1;1;1;1619;540;3419;89.94;90;89.97;;;;1000;7;7;7.5;6;4.5;8;0;4;5;3;3.5;6;4;5;4.5;5.5;6;6;7.5;5.5;3.5;6;4;7;4.5;5;6.5;5;5.5;5;6;5.5;9;6.5;5;6;5;6;6;;;;;;;;;;;;;38;22;5,00;FC Nantes;Clermont;dim. 29/01 15:00;50;0.41769;0.45199;;Sursis
Chevalier Lucas;G;15;17;5.5;5.5;5.42;13;13;31;1.04;1.04;1.02;0;0;0;1;1;1;1170;1170;2790;90;90;90;;;;1000;5;5.5;6;6;6;5;5;4;6;8;4;6;5;0;0;0;0;0;0;5;6.5;5.5;6;3;5;6;4;5.5;6;5.5;5;7;5;4;7;5;5.5;0;5;;;;;;;;;;;;;19;13;0;LOSC;OGC Nice;dim. 29/01 13:00;50;0.60094;0.61564;;
Lis Mateusz;G;15;15;5.5;5.3;5.5;7;5;7;1.41;1.3;1.41;0;0;0;1;1;1;630;450;630;90;90;90;;;;1000;4;4;6;7;5.5;0;0;4.5;7.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;22;10;0;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;
Magassa Soungoutou;MD;1;1;5.5;0;5.5;1;0;1;0;0;0;0;0;0;0;0;0;73;0;73;73;0;73;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.8462;39;1;1;44.44;2;;;0;AS Monaco;OM;sam. 28/01 21:00;50;0.64699;0.64421;;
Zeze Nathan;DC;1;1;5.5;5.5;5.5;1;1;1;0;0;0;0;0;0;1;1;1;60;60;60;60;60;60;;;;1000;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.6667;31;;2;80;;;;0;FC Nantes;Clermont;dim. 29/01 15:00;50;0.41769;0.45199;;
Raolisoa Lilian;DL;1;;5.5;5.5;5.5;1;1;1;0;0;0;0;0;0;0;0;0;21;21;21;21;21;21;;;;1000;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;;0.875;23;1;;100;;;;0;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;
Magnetti Hugo;MD;12;13;5.47;6.5;5.33;15;1;30;0.58;0;0.79;0;0;0;0.53;1;0.57;779;90;1552;51.93;90;51.73;;;;1000;6.5;0;5.5;5;0;0;5.5;5;5;5.5;0;5;5;6;5.5;4.5;6.5;6;5.5;4.5;6;0;5;5.5;5;5;5;0;0;3;4.5;5.5;5;6.5;4.5;7;6;0;1.5;;;;1;;1;0.8209;506;12;16;61.86;4;;;6.5;Brest;Angers SCO;dim. 29/01 15:00;50;0.35544;0.38726;;
Vitinha;MO;12;17;5.47;5.38;5.47;17;4;17;0.87;1.49;0.87;0;0;0;0.76;0.75;0.76;1105;263;1105;65;65.75;65;;;;1000;5;7.5;5;4;0;5.5;5.5;6;6;5;4.5;4.5;5.5;5;6.5;0;6;5;6.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;;;;;;4;0.9364;1090;12;11;44.74;16;;;5,00;Paris SG;Reims;dim. 29/01 20:45;50;0.78322;0.80856;;
Lepenant Johann;MD;13;15;5.46;0;5.5;14;0;30;0.46;0;0.81;0;0;0;0.71;0;0.87;933;0;2339;66.64;0;77.97;;;;1000;0;6;0;5.5;5.5;5.5;5;0;0;4.5;6;5;5.5;0;6;5.5;5.5;5;6;0;6;5.5;5;5;4;6.5;6.5;4.5;6.5;5.5;0;4;5.5;8;5;6;0;5;3.5;;;;;2;;0.8873;831;15;15;53.38;13;;;6,00;OL;AC Ajaccio;dim. 29/01 17:05;50;0.61889;0.62095;;
Ruiz Fabián;MD;11;14;5.45;5.25;5.65;11;4;27;0.82;0.96;0.96;0;0;2;0.73;0.75;0.78;696;245;1718;63.27;61.25;63.63;;859;7;1000;5;6;4;6;0;0;5;7;6;5.5;4.5;5.5;5.5;0;0;0;0;0;0;0;7;7;7.5;5;5.5;4.5;5;5;6.5;4.5;7;5;5;7;6;0;5;0;3.5;;;;;;3;0.9305;714;3;8;55.22;7;;;5.5;Paris SG;Reims;dim. 29/01 20:45;50;0.78322;0.80856;;
Abdelli Himad;MO;10;10;5.45;6.13;5.59;11;4;27;0.76;0.85;0.78;0;0;3;0.45;0.75;0.67;522;295;1771;47.45;73.75;65.59;;590;6.5;1000;5;6.5;6;7;0;5;4.5;0;5;5.5;5.5;0;0;5;5;0;0;0;0;0;0;5;6;6;5.5;8;5;5;5.5;6;5;5.5;4.5;6.5;6;6;5.5;0;2;;;;;2;2;0.8454;440;6;10;56.41;9;;;0;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;
Haïdara Massadio;DL;16;18;5.44;5.63;5.29;18;4;28;0.78;0.75;0.81;0;0;1;0.56;0.5;0.68;956;217;1650;53.11;54.25;58.93;;1650;7;1000;6.5;5;6;5;0;5;6;6;6;4;7;5;6.5;5.5;5;4.5;5;5;5;0;0;0;4.5;5;0;0;4;0;7;5.5;4.5;5;5;5;0;0;0;0;8.5;;;;;;4;0.8595;735;26;12;67.71;11;;;6.5;RC Lens;Troyes;sam. 28/01 17:00;50;0.62931;0.61914;;
Wooh Christopher;DC;9;10;5.44;5.17;5.56;9;3;16;0.73;0.76;0.6;0;0;0;0.78;0.67;0.88;638;185;1268;70.89;61.67;79.25;;;;1000;6;5;4.5;0;5.5;6;6.5;6;4.5;0;0;0;0;0;5;0;0;0;0;0;0;0;5.5;6;6;0;0;6;0;0;0;0;5;6;0;0;0;0;3;;;;;1;1;0.8;444;4;4;61.9;9;;;0;Rennes;FC Lorient;ven. 27/01 21:00;50;0.61516;0.64509;;
Abergel Laurent;MD;11;12;5.43;4.88;5.33;14;4;30;0.78;0.85;0.89;0;0;0;1;1;1;1127;317;2502;80.5;79.25;83.4;;;;1000;4.5;6;5;4;0;0;0;0;0;6;5.5;6;6.5;5.5;4;5.5;5.5;6;6;5.5;5;3.5;5.5;3.5;6;5;6.5;3.5;6;0;5;6.5;6;0;0;5.5;6;0;3;;;;1;2;;0.8726;711;15;26;56;12;;;4.75;FC Lorient;Rennes;ven. 27/01 21:00;50;0.45225;0.45573;;
Mvogo Yvon;G;7;15;5.43;0;5.43;14;0;14;1.38;0;1.38;0;0;0;1;0;1;1183;0;1183;84.5;0;84.5;;;;1000;0;0;0;0;0;3.5;5;4.5;6;6;6;4.5;5.5;6;2.5;5.5;6;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;;;;;;;;;;;;;33;13;8,00;FC Lorient;Rennes;ven. 27/01 21:00;50;0.45225;0.45573;;† Cuisse
Xeka;MD;11;11;5.38;0;5.33;8;0;18;0.52;0;0.69;0;0;2;0.75;0;0.78;551;0;1226;68.88;0;68.11;;613;5.5;1000;0;0;6;5;4.5;5.5;5.5;5;5.5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5;5;0;4.5;5.5;6;5.5;4;7;0;0;5;0;3;;;;;;1;0.8933;393;5;3;40;13;;;0;Rennes;FC Lorient;ven. 27/01 21:00;50;0.61516;0.64509;;† Cheville (2sem.)
Schmeichel Kasper;G;15;17;5.38;5.59;5.59;17;11;38;0.99;0.83;1.23;0;0;0;1;1;1;1530;990;3420;90;90;90;;;;1000;6;5;5;6.5;5.5;6;7;5.5;5;6;4;0;6;4.5;6;3;4.5;6;0;5.5;0;5;4.5;6;5.5;7;6;6.5;6;8;7;4;4;7;5.5;6.5;7;8;4;;;;;;;;;;;;;28;16;6,00;OGC Nice;LOSC;dim. 29/01 13:00;50;0.52477;0.53303;;
Barreto Mickaël;MO;5;;5.38;0;5.23;4;0;11;0.48;0;0.61;0;0;1;0.25;0;0.45;143;0;483;35.75;0;43.91;;483;6.5;1000;0;0;0;0;0;0;0;5;6;0;0;0;5;0;0;0;0;5.5;0;5.5;5;6.5;0;5;0;0;0;4.5;4.5;5;0;0;0;0;0;0;0;0;0.5;;;;;;;0.8683;88;1;4;50;1;;;0;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;
Centonze Fabien;DL;9;9;5.36;5.5;5.19;7;4;13;0.56;0.71;0.75;0;0;0;0.71;0.75;0.69;468;293;771;66.86;73.25;59.31;;;;1000;6.5;5;5;5.5;0;5;5;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;;;;;;2;0.7302;344;13;7;63.93;4;;;5,00;FC Nantes;Clermont;dim. 29/01 15:00;50;0.41769;0.45199;;
Mandanda Steve;G;15;18;5.35;5.33;5.43;17;15;22;0.91;0.96;0.88;0;0;0;1;1;1;1485;1350;1935;87.35;90;87.95;;;;1000;6;5;5.5;3.5;6;5.5;6;5;4;6.5;5.5;5.5;7;4;5;0;0;6;5;6.5;4.5;5.5;0;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;;;;;;;;;;;;;25;15;5,00;Rennes;FC Lorient;ven. 27/01 21:00;50;0.61516;0.64509;;† Musculaire
Tolisso Corentin;MD;12;16;5.35;5.25;5.35;13;2;13;0.55;0.35;0.55;0;0;0;0.69;0.5;0.69;698;99;698;53.69;49.5;53.69;;;;1000;5;5.5;0;5;0;0;0;0;6;5.5;0;5;6;6.5;4.5;5;5.5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;5;2;0.8955;766;7;10;50.59;10;;;5,00;OL;AC Ajaccio;dim. 29/01 17:05;50;0.61889;0.62095;;
Ponceau Julien;MO;11;12;5.34;5.31;5.24;16;13;34;0.65;0.69;0.89;0;0;3;0.69;0.77;0.74;930;817;2124;58.13;62.85;62.47;;708;5.5;1000;5;5;5;5;4.5;5;4.5;5.5;5.5;6;6;7;5;0;5;6;5.5;0;0;4;4.5;7;4.5;6;5.5;4.5;4.5;4.5;5;5;5;3.5;6;4;0;5;7;7;4.5;;;;2;2;2;0.8334;574;9;12;47.31;13;;;0;FC Lorient;Rennes;ven. 27/01 21:00;50;0.45225;0.45573;;
Bailly Eric;DC;10;11;5.33;0;5.29;6;0;7;0.26;0;0.27;0;0;0;0.5;0;0.57;306;0;372;51;0;53.14;;;;1000;0;0;5;5;0;0;0;0;5.5;0;0;0;5.5;0;5.5;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;;;;;;;0.8513;189;5;5;55.56;6;;;0;OM;AS Monaco;sam. 28/01 21:00;50;0.6442;0.65036;;Suspendu (2sem.)
Blanco Rubén;G;7;7;5.33;0;5.33;3;0;3;1.15;0;1.15;0;0;0;1;0;1;270;0;270;90;0;90;;;;1000;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;5;4;0;OM;AS Monaco;sam. 28/01 21:00;50;0.6442;0.65036;;
Agoumé Lucien;MD;1;2;5.33;0;5.18;3;0;17;0.58;0;0.97;0;0;0;0.67;0;0.76;107;0;1088;35.67;0;64;;;;1000;0;0;0;0;0;0;0;0;0;0;5;6;5;0;0;0;0;0;0;0;5;4.5;0;5.5;0;4.5;0;5;4.5;4.5;6;6;4.5;7.5;0;6.5;4.5;3.5;;;;;;1;;0.8175;79;2;2;57.14;5;;;5,00;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;🏠Hors groupe
Seidu Alidu;DC;12;14;5.33;5.25;5.05;18;6;33;0.94;0.61;1.01;0;0;0;1;1;0.97;1575;540;2833;87.5;90;85.85;;;;1000;6;5.5;5.5;4.5;4.5;5.5;0;4.5;5.5;7;5.5;3.5;6.5;6;4.5;5;6;6.5;4;4.5;5;5.5;5.5;0;4;0;3;4;4;4.5;4;0;6.5;3.5;6;6;0;0;6.5;;;;;1;6;0.8756;1082;36;20;66;20;;;4,00;Clermont;FC Nantes;dim. 29/01 15:00;50;0.42058;0.41947;;
Zhegrova Edon;A;8;8;5.33;7;5.16;9;1;22;0.94;0;1.05;0;0;2;0.56;0;0.45;453;82;929;50.33;82;42.23;;465;6;1000;7;0;5;5.5;0;0;0;0;4.5;0;0;0;0;5.5;6;6;4;0;4.5;4.5;5;5;4.5;5.5;6;6;6.5;5.5;0;4.5;6;0;2;0;4.5;0;0;0;3;;;;;1;6;0.8861;342;2;8;46.48;7;;;5.5;LOSC;OGC Nice;dim. 29/01 13:00;50;0.60094;0.61564;;
Gradit Jonathan;DL;13;15;5.32;5.36;5.29;14;7;31;0.8;0.8;0.75;0;0;0;1;1;1;1159;618;2685;82.79;88.29;86.61;;;;1000;5.5;4;5.5;5;6;5;6.5;0;0;0;0;0;5.5;5;5.5;7;4.5;4.5;5;4.5;5;5;5;6;6;5;6.5;6;5.5;4.5;5;5;0;0;0;5.5;5.5;6;5;;;;2;1;1;0.9034;1021;17;14;52.99;17;;;5.25;RC Lens;Troyes;sam. 28/01 17:00;50;0.62931;0.61914;;Sursis (2sem.)
Balerdi Leonardo;DC;11;13;5.32;5.32;5.3;19;19;25;0.71;0.71;0.65;0;0;0;0.89;0.89;0.76;1497;1497;1677;78.79;78.79;67.08;;;;1000;5.5;6;5;5.5;4.5;6;5;4.5;5;4;7;5;4.5;5.5;5;6;6;5.5;5.5;0;0;0;0;0;0;0;0;0;5;6;0;0;0;5;5;5;0;5.5;7;;;;1;;;0.8511;1128;33;19;53.03;22;;;4.5;OM;AS Monaco;sam. 28/01 21:00;50;0.6442;0.65036;;Sursis (4sem.)
Gusto Malo;DL;11;16;5.3;5.5;5.32;15;1;34;0.88;0;0.86;0;0;0;1;1;0.82;1296;79;2475;86.4;79;72.79;;;;1000;5.5;0;0;0;5.5;5;5.5;5;3.5;5;0;5;5;7;5;6.5;6;4;6;6;5;4;7;5.5;4.5;7;0;6;5;5;6;5;5;0;4;5;5;5;5;;;;1;3;23;0.8403;1361;23;21;52.17;14;;;6,00;OL;AC Ajaccio;dim. 29/01 17:05;50;0.61889;0.62095;;
Harit Amine;MO;5;14;5.3;0;5.4;10;0;25;0.48;0;0.94;0;0;3;0.6;0;0.56;516;0;1273;51.6;0;50.92;;424;6.5;1000;0;0;0;0;4.5;5;5;6;5.5;5.5;5;6;5.5;5;0;0;0;0;0;7;4.5;0;4.5;4;6.5;5;6;7;5;8;0;0;0;0;5;5;5;5;2.5;;;;;2;6;0.8418;387;4;4;38.37;2;;;4.5;OM;AS Monaco;sam. 28/01 21:00;50;0.6442;0.65036;;† Genou (4sem.)
Sels Matz;G;14;17;5.29;5.29;5.33;19;19;38;1.02;1.02;0.92;0;0;0;1;1;1;1710;1710;3420;90;90;90;;;;1000;7;7;4;5.5;4.5;4;4;5.5;4.5;6;4;5;6;5;5;5;6;5.5;7;4;6;6.5;4.5;5;5.5;5.5;5;6;6;6;4.5;5.5;4.5;6;6;3.5;6;0;1;;;;;;;;;;;;;46;23;5.5;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;
Chirivella Pedro;MD;13;15;5.29;7;5.39;17;2;32;0.99;1.41;1.01;0;0;1;1;1;1;1445;168;2693;85;84;84.16;;2693;7;1000;8;6;0;6;5;5;5;5.5;5;3.5;4;5.5;4.5;5.5;0;5.5;4.5;6;5.5;0;0;0;4.5;0;0;4.5;4.5;7;4.5;5.5;6;6;6;7.5;4;5.5;5;7;5;;;;1;3;4;0.8487;1107;18;15;57.47;7;;;6,00;FC Nantes;Clermont;dim. 29/01 15:00;50;0.41769;0.45199;;
Omlin Jonas;G;15;15;5.29;4.9;5.21;14;5;29;1.44;1.88;1.45;0;0;0;1;1;1;1168;450;2496;83.43;90;86.07;;;;1000;4;2;6;6.5;6;0;0;6;6;5;0;5.5;0;0;3.5;6;4;6;7.5;4;0;0;0;4;4;0;3;5;9;5.5;4;4;7;6;6;6;4.5;0;2;;;;;;;;;;;;;33;16;4,00;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;
Thiago Mendes;DC;14;16;5.28;5.5;5.32;18;8;34;0.93;0.46;1;0;0;0;0.94;0.88;0.97;1448;638;2771;80.44;79.75;81.5;;;;1000;5;6;6;5;5.5;5.5;6;5;0;5;4;5;4.5;7;5;5;6;3;6.5;0;0;4;6;6;5.5;6.5;0;6;6;3;6;5;5.5;7;3.5;6;0;0;6.5;;;;1;;1;0.858;1383;38;18;65.55;14;;;6.5;OL;AC Ajaccio;dim. 29/01 17:05;50;0.61889;0.62095;;
Ramos Sergio;DC;12;16;5.26;5.14;5.34;17;7;28;0.77;0.9;0.99;0;0;2;0.94;1;0.82;1371;615;2080;80.65;87.86;74.29;;1040;7;1000;5;6;4;4;6;6;5;0;0;4.5;5.5;6;6;4;6;5;5.5;5;6;5.5;7;0;4;4.5;7;5;6;5;0;0;0;0;0;0;0;7.5;5;0;6;;;;1;;5;0.9478;1440;18;16;53.51;16;;;6,00;Paris SG;Reims;dim. 29/01 20:45;50;0.78322;0.80856;;
Mukiele Nordi;DL;12;15;5.26;5.33;5.26;17;12;17;0.73;0.86;0.73;0;0;0;0.59;0.75;0.59;1001;872;1001;58.88;72.67;58.88;;;;1000;5;7;4.5;4.5;5.5;4.5;5;5.5;5;5.5;7;5;0;0;5.5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5;;;;3;3;5;0.8974;768;13;20;55.26;14;;;5.5;Paris SG;Reims;dim. 29/01 20:45;50;0.78322;0.80856;;† Ischio (2sem.)
Riou Rémy;G;7;7;5.25;0;5.5;4;0;18;0.65;0;0.82;0;0;0;0.75;0;0.94;330;0;1545;82.5;0;85.83;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5.5;4.5;0;6;0;7;0;0;4.5;0;6.5;4.5;6;6;6.5;5.5;5.5;5;0;6;6;5;4;;;;;;;;;;;;;;6;2;6,00;OL;AC Ajaccio;dim. 29/01 17:05;50;0.61889;0.62095;;
Thomasson Adrien;MO;18;21;5.25;5;5.4;16;1;31;0.84;0;1.02;0;0;2;0.63;0;0.77;938;1;2154;58.63;1;69.48;;1077;7;1000;5;0;4.5;6.5;5;4.5;4.5;4.5;4.5;5.5;0;0;5.5;5;5;4.5;7;6.5;6;4;7;5.5;4.5;6;4.5;4.5;0;0;0;0;0;5.5;4.5;6;6;4;7.5;7;2.5;;;;2;5;2;0.82;687;4;9;47.11;16;;;0;RC Lens;Troyes;sam. 28/01 17:00;50;0.62931;0.61914;;
Lovren Dejan;DC;8;11;5.25;5.25;5.25;2;2;2;1.06;1.06;1.06;0;0;0;1;1;1;180;180;180;90;90;90;;;;1000;4.5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;;;;;;1;0.9102;201;3;1;65;3;;;0;OL;AC Ajaccio;dim. 29/01 17:05;50;0.61889;0.62095;;
Mannone Vito;G;15;15;5.25;5.25;5.25;6;6;6;1.41;1.41;1.41;0;0;0;0.83;0.83;0.83;527;527;527;87.83;87.83;87.83;;;;1000;3;4.5;7;5;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;18;4;0;FC Lorient;Rennes;ven. 27/01 21:00;50;0.45225;0.45573;;
Traoré Charles;DL;6;6;5.25;5.25;5;4;4;8;0.5;0.5;0.46;0;0;0;0.5;0.5;0.38;149;149;283;37.25;37.25;35.38;;;;1000;5;5;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5;5;4.5;5;0;0;0;0;0;1;;;;;;;0.6421;119;4;;57.14;3;;;0;FC Nantes;Clermont;dim. 29/01 15:00;50;0.41769;0.45199;;† Incertain
Lala Kenny;DL;8;10;5.25;5.25;5.25;2;2;2;0.35;0.35;0.35;0;0;0;0.5;0.5;0.5;108;108;108;54;54;54;;;;1000;5;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;;;;;;;0.7333;68;3;2;58.33;;;;0;Brest;Angers SCO;dim. 29/01 15:00;50;0.35544;0.38726;;
Anthony Lopes;G;17;20;5.25;5.54;5.32;16;14;34;1.35;1.18;1.22;0;0;0;1;1;1;1377;1260;2937;86.06;90;86.38;;;;1000;4;7;5;5.5;5.5;4.5;7.5;6;4;5;7;6.5;4;6;0;0;0;3.5;3;7;6;5;6.5;0;0;0;4;5.5;6;2.5;6.5;4.5;6;6.5;4.5;6;6;5;3;;;;;;;;;;;;;30;14;3,00;OL;AC Ajaccio;dim. 29/01 17:05;50;0.61889;0.62095;;
Coutadeur Mathieu;MD;12;12;5.25;0;5.21;14;0;24;0.64;0;0.62;0;0;0;0.79;0;0.83;985;0;1751;70.36;0;72.96;;;;1000;0;0;4.5;6.5;5;5.5;5;4.5;5;6.5;5;6;5;0;5;0;5;0;5;0;0;0;0;0;0;0;0;5;5;4;6;5.5;5;5;4.5;5.5;0;6;3;;;;;;1;0.8679;729;11;8;58.33;2;;;5,00;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;† Mollet
Malinovskyi Ruslan;MO;12;25;5.25;5.25;5.34;2;2;29;0.35;0.35;0.95;0;0;3;0.5;0.5;0.41;89;89;1144;44.5;44.5;39.45;;381;7;1000;5.5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;6;0;5;5.5;4;0;3;5;0;4.5;7;0;0;0;7;5;;;;;;1;1;0.836;75;1;1;63.64;2;;;0;OM;AS Monaco;sam. 28/01 21:00;50;0.6442;0.65036;;
Chotard Joris;MD;12;13;5.25;5;5.18;16;1;34;1.03;0;0.97;0;0;1;0.69;0;0.79;1019;26;2467;63.69;26;72.56;;2467;6;1000;5;0;5;5;0;5.5;4;4.5;5;5.5;6.5;5.5;4.5;5;6.5;8;0;4;4.5;4;3.5;6;4.5;3.5;5;5;0;5.5;7;5.5;5;5;5;5.5;4.5;6;5;0;2;;;;1;2;2;0.7422;589;15;13;48.81;17;;;0;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;
Akliouche Maghnes;MO;5;7;5.25;0;4.67;6;0;12;0.42;0;1.51;0;0;0;0.5;0;0.33;248;0;286;41.33;0;23.83;;;;1000;0;0;0;0;0;4.5;5.5;0;0;5;0;5.5;0;0;0;5.5;0;0;5.5;0;0;0;5;0;0;0;0;0;0;0;0;4.5;5;5;5;0;0;0;2;;;;;;3;0.6682;147;2;3;39.39;5;;;0;AS Monaco;OM;sam. 28/01 21:00;50;0.64699;0.64421;;
Bouanani Badredine;MO;1;1;5.25;5.25;5.25;2;2;2;0.35;0.35;0.35;0;0;0;0;0;0;44;44;44;22;22;22;;;;1000;5;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;1;1;0.9616;31;;;16.67;1;;;0;OGC Nice;LOSC;dim. 29/01 13:00;50;0.52477;0.53303;;
Todibo Jean-Clair;DC;13;15;5.24;5.4;5.24;17;10;35;0.85;0.77;0.95;0;0;0;1;1;1;1433;900;3044;84.29;90;86.97;;;;1000;6;6.5;6;5.5;4;6;5.5;4.5;5;5;0;4;5;5;5.5;0;3.5;6;6;5;3.5;4.5;7;6.5;5;6;4.5;4.5;4;6;5.5;0;5.5;3.5;0;6;5.5;7;3;;;;;;1;0.8228;1235;10;27;65.6;12;;;4.5;OGC Nice;LOSC;dim. 29/01 13:00;50;0.52477;0.53303;;
Innocent Bonke;MD;11;11;5.24;5.31;5.18;17;8;28;0.5;0.37;0.58;0;0;0;0.53;0.75;0.68;816;526;1604;48;65.75;57.29;;;;1000;5;5;5;5.5;5.5;5.5;5;6;0;5;5;5;5.5;5;4.5;4.5;0;6.5;5.5;0;0;5;4;4.5;5.5;6;0;0;5;6;4;5;5.5;5.5;0;0;0;0;1;;;;1;;;0.8417;505;14;11;37.93;25;;;5,00;FC Lorient;Rennes;ven. 27/01 21:00;50;0.45225;0.45573;;
Dante;DC;13;15;5.22;5.81;5.13;18;8;35;1.06;0.75;1.1;0;0;0;1;1;1;1620;720;3007;90;90;85.91;;;;1000;5.5;7;4.5;5.5;6;6;6.5;5.5;0;5;3;5.5;6;5;6;3;4.5;5;4.5;4;3.5;5;6;6;0;0;4;5.5;0;3;6;3.5;6;4.5;4.5;7;5;6.5;4;;;;1;1;;0.9058;1414;28;19;58.97;15;;;4.75;OGC Nice;LOSC;dim. 29/01 13:00;50;0.52477;0.53303;;
Foket Thomas;DL;8;8;5.2;5.2;4.93;5;5;20;0.45;0.45;0.57;0;0;0;0.8;0.8;0.85;353;353;1465;70.6;70.6;73.25;;;;1000;6;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;4.5;5;4.5;5;4;4;5.5;5.5;5;0;0;0;0;5;4.5;5;0;1.5;;;;;;1;0.6694;249;7;4;52.17;4;;;4.5;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;
