Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J;Dispo@MPGLaurent?
Doukouré Ismaël;DC;10;10;4.8;4.88;4.88;10;4;12;0.35;0.25;0.38;1;1;1;0.8;1;0.67;752;343;782;75.2;85.75;65.17;752;782;5;10;5;4.5;5;5;0;0;0;0;4;0;0;4.5;5;5;5;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5;1.5;;;1;;1;;0.8035;427;6;4;47.69;14;;;0;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;
Coco Marcus;MO;9;9;4.79;5;4.89;12;3;23;0.45;0.87;0.54;1;1;2;0.25;0;0.35;268;53;820;22.33;17.67;35.65;268;410;6;9;4.5;4.5;6;0;0;0;4.5;4.5;4.5;0;0;0;0;5;4.5;5;4.5;5;5;5;4.5;4.5;6;0;6;0;0;0;0;0;0;4.5;4.5;5.5;4.5;0;0;4.5;0.5;;;;;;;0.589;184;7;4;47.06;6;;;4.5;FC Nantes;Clermont;dim. 29/01 15:00;50;0.41769;0.45199;;
Abdu Conté;DL;9;9;4.79;4.75;4.57;12;10;28;1.08;1.16;1.36;1;1;1;0.75;0.9;0.89;827;777;2004;68.92;77.7;71.57;827;2004;7;9;4.5;4;4.5;5.5;4;6;4;5;3;7;0;4.5;5.5;0;0;0;0;0;0;4.5;3.5;4.5;0;5;5;5;4;5.5;6;5.5;6;4.5;4;2;5.5;0;0;0;1.5;;;;1;3;5;0.8213;590;2;14;51.47;9;;;4.5;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;
Mangani Thomas;MD;11;13;4.78;3.83;4.88;16;3;30;0.89;1.61;0.9;1;0;2;0.44;0.67;0.47;738;223;1437;46.13;74.33;47.9;738;719;6;11;2;4.5;5;0;4.5;5;4.5;5;5;5;4.5;5;0;5.5;0;4;5.5;5.5;6;7.5;5;5.5;5.5;4.5;5;5;0;5;4.5;4.5;4;5;0;0;3.5;0;5.5;0;0.5;1;;;1;1;;0.6724;623;16;8;45.07;15;;;6,00;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;
Avinel Cédric;DC;7;9;4.75;4;4.97;10;1;20;0.92;0;0.79;1;0;1;0.8;0;0.8;742;45;1532;74.2;45;76.6;742;1532;5.5;7;4;0;0;0;0;0;4;3.5;5.5;5;5.5;6.5;4.5;0;0;0;0;5;4;5.5;5;0;0;0;0;0;0;0;0;4.5;6;5;6;5.5;4.5;4.5;0;5.5;1;;;;;;;0.7632;342;10;3;64.52;6;;;4,00;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;
Abline Matthis;A;8;10;4.69;4;4.76;13;2;29;0.69;0.71;1.39;1;0;7;0.08;0.5;0.55;148;52;1340;11.38;26;46.21;148;191;6;8;4.5;3.5;0;4.5;0;0;4.5;6;4.5;4.5;5;0;6;4;4.5;5;4.5;0;0;5;0;6;3.5;6;6.5;4.5;6.5;6;4.5;4;7;5;2.5;6;4;0;0;0;;;;;;;3;0.4423;63;2;2;35.71;6;;;0;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;
Tchato Mbiayi Enzo;DC;6;8;4.69;3.5;4.69;13;1;13;0.78;0;0.78;1;0;1;0.62;1;0.62;780;90;780;60;90;60;780;780;4.5;6;3.5;0;0;0;0;0;5;4.5;5;3.5;4;5;5;4.5;6.5;0;5;4.5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;1;3;0.7612;486;4;11;57.14;6;;;5,00;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;
Alexsandro Ribeiro;DC;9;9;4.69;5;4.69;8;1;8;1.19;0;1.19;1;0;1;0.5;0;0.5;453;15;453;56.63;15;56.63;453;453;6;9;5;0;4.5;0;0;0;5;6;5;0;0;0;0;0;0;0;2;4.5;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.9114;377;6;7;52.63;2;;;0;LOSC;OGC Nice;dim. 29/01 13:00;50;0.60094;0.61564;;
Sakho Mamadou;DC;4;6;4.67;3.5;4.72;9;2;23;0.87;0;0.85;1;0;1;0.56;0.5;0.83;500;106;1735;55.56;53;75.43;500;1735;5.5;4;3.5;3.5;0;0;0;0;5;0;0;0;0;0;5;4.5;6;0;5.5;5;4;5;0;4;4.5;3.5;5;5.5;4.5;4;0;0;0;0;6;5.5;4;5.5;3.5;0;1;;;;;;;0.8826;383;5;2;55.56;2;;;5.5;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;
Moussiti-Oko Bevic;A;9;11;4.66;4.5;4.55;16;5;22;0.83;0.5;0.74;1;0;1;0.38;0.2;0.27;626;159;694;39.13;31.8;31.55;626;694;7;9;5;5;4.5;4;4;0;4;4.5;6;7;4;0;4.5;4;4;4.5;0;5;4.5;4.5;4;4.5;4;4.5;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2.5;;;1;;1;3;0.6172;265;2;1;50.31;16;;;4.5;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;Sursis (4sem.)
