Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;j19;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Mascarell Omar;MD;11;12;4.94;5.32;5.05;16;11;32;0.79;0.51;0.78;0;0;0;1;1;0.97;1376;990;2641;86;90;82.53;;;;1000;6;6;6;5;5;5;5;5.5;4.5;5;5.5;0;0;4.5;3;4.5;4.5;4;6.5;5;4.5;4;6;0;6;5;0;4.5;5.5;0;4.5;4;4.5;5.5;0;5.5;5.5;6;2;;;;;1;3;0.8293;853;18;12;52.04;11;;;4.5;Elche;Sevilla;sam. 28/01 18:30;50;0.27878;0.01266;0.07559
Bueno Santiago;DC;9;10;4.94;4.94;4.94;18;18;18;0.76;0.76;0.76;0;0;0;1;1;1;1608;1608;1608;89.33;89.33;89.33;;;;1000;4.5;5.5;5;4.5;5.5;6;5.5;4.5;4;4.5;4.5;3;5;6;5;5;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;;;;1;1;1;0.8698;1169;22;18;68.09;20;;;0;Girona;Barcelona;sam. 28/01 16:15;50;0.27482;0.28437;0.2994
Elustondo Aritz;DC;13;14;4.93;5.63;5.06;15;4;27;0.96;0.75;0.91;0;0;0;0.73;1;0.63;964;346;1643;64.27;86.5;60.85;;;;1000;6.5;5;5;6;0;3.5;4;0;6;5;5.5;4;5;0;5;5.5;3;5;4.5;0;7;0;5;0;5;5;0;5.5;0;3.5;0;0;6;5;5;0;6;5;6;;;;1;2;;0.8016;684;15;12;49.38;14;;;3.5;Real Sociedad;Real Madrid;dim. 29/01 21:00;50;0.63972;0.614;0.05412
Raúl Guti;MD;10;;4.93;5;4.97;14;1;29;0.39;0;0.48;0;0;0;0.64;0;0.52;729;10;1327;52.07;10;45.76;;;;1000;5;0;4.5;4.5;5;5;0;5;5;5.5;5;5;5.5;5;4;5;0;0;5.5;5;5;4;5;6;5.5;4.5;4.5;4.5;0;0;4.5;5;0;5;6;0;5;0;2;;;;;;1;0.7866;356;7;8;50.75;7;;;0;Elche;Sevilla;sam. 28/01 18:30;50;0.27878;0.01266;0.07559
Algobia Ángel;MO;10;;4.92;4.88;4.92;12;4;12;0.42;0.48;0.42;0;0;0;0.67;1;0.67;666;306;666;55.5;76.5;55.5;;;;1000;5;4.5;4.5;5.5;0;5;5;5;4.5;4.5;5.5;4.5;0;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;0.8037;396;3;6;40.63;15;;;0;Getafe;Betis;sam. 28/01 21:00;50;0.38106;0.06952;0.1505
Melamed Nicolás;MD;10;;4.92;5;5;12;1;24;0.19;0;0.53;0;0;1;0.42;0;0.29;298;9;693;24.83;9;28.88;;693;6.5;1000;5;0;4.5;5;5;0;0;5;0;5;5;5;0;5;0;5;5;4.5;5.5;6;5;6.5;0;5;0;0;0;5;5;5;5;0;3.5;0;0;4.5;5;0;;;;;;;3;0.8145;157;1;4;39.06;11;;;0;Espanyol;Almería;ven. 27/01 21:00;50;0.39208;0.37941;
José Mari;MD;9;;4.92;0;4.98;12;0;23;0.29;0;0.51;0;0;0;0.17;0;0.26;315;0;698;26.25;0;30.35;;;;1000;0;0;5;5;5;0;4.5;0;4.5;5;5;5.5;4.5;0;0;5;5;5;5;5;4.5;6;5;5;6;0;3.5;5;0;5.5;0;5;0;0;0;0;0;0;;;;;;1;;0.7976;206;5;6;50;4;;;0;Cádiz;Mallorca;sam. 28/01 14:00;50;0.10287;0.17443;0.23038
Battaglia Rodrigo;MD;9;10;4.92;0;4.94;12;0;25;0.6;0;0.71;0;0;0;0.67;0;0.64;650;0;1391;54.17;0;55.64;;;;1000;0;0;0;4.5;5.5;5;0;5.5;5;4.5;5;0;0;4.5;5.5;5.5;3.5;5;7;5.5;6;0;4.5;4.5;0;5;5;0;0;0;0;4;4.5;5;4;0;4.5;5;2.5;;;;;;1;0.7587;296;5;6;51.56;11;;;5;Mallorca;Cádiz;sam. 28/01 14:00;50;0.41547;0.41625;0.05458
Alex Telles;DL;11;13;4.92;0;4.86;13;0;29;0.28;0;0.71;0;0;0;0.54;0;0.72;752;0;2035;57.85;0;70.17;;;;1000;0;0;0;0;5.5;5;5;4.5;5;5;4.5;4.5;5;5;0;5;5;5;5;5.5;3.5;7;3;5;5;4.5;0;5;3.5;5;0;0;0;5;4.5;0;0;5;2;;;;2;1;2;0.7544;504;7;5;50.75;14;;;0;Sevilla;Elche;sam. 28/01 18:30;50;0.23486;0.32404;0.34716
Nastasic Matija;DC;8;8;4.92;5.5;4.81;6;1;8;1.16;0;1.03;0;0;0;0.67;1;0.63;382;77;473;63.67;77;59.13;;;;1000;5.5;0;0;4.5;0;6.5;0;5;5;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;0;0;0;0;2;;;;;;;0.8292;167;9;3;44.44;6;;;0;Mallorca;Cádiz;sam. 28/01 14:00;50;0.41547;0.41625;0.05458
